Year,Temporary visa holders(b),Australian Citizen,Permanent visa holders(b),NZ Citizen (subclass 444)(c),Unknown Visa
2011-12,225.59,76.07,87.69,61.07,16.91
2012-13,244.06,77.10,86.76,54.12,20.06
2013-14,253.16,72.18,94.35,37.77,7.21
2014-15,262.93,71.68,91.49,31.75,7.40
2015-16,281.76,75.80,90.59,33.70,7.43
2016-17,314.82,79.28,106.20,32.33,7.53
2017-18,327.30,77.16,87.91,30.38,4.77
2018-19,350.67,78.90,85.39,30.54,4.90
2019-20,313.66,96.41,70.89,22.22,3.67
2020-21,29.58,61.37,36.95,16.95,1.15
2021-22,239.89,61.16,67.90,23.23,2.79
